Team,Round-of-32 (%),Round-of-16 (%),Quarter-Final (%),Semi-Final (%),Finalist (%),Champion (%)
france,100.0,94.94,75.13,59.76,36.8,24.01
spain,100.0,91.97,60.91,51.61,31.31,20.93
brazil,100.0,88.08,85.47,66.28,43.82,20.15
argentina,100.0,97.81,89.55,59.23,29.6,13.4
portugal,100.0,75.59,32.87,25.28,11.66,6.29
england,100.0,92.44,61.24,20.78,10.51,3.69
colombia,100.0,89.87,63.9,30.28,10.84,3.34
netherlands,100.0,69.64,62.49,20.47,7.4,2.93
belgium,100.0,82.8,74.29,17.8,5.37,1.98
germany,100.0,87.2,22.24,13.18,4.88,1.81
morocco,100.0,30.36,25.2,5.31,1.37,0.39
croatia,100.0,24.41,5.07,3.06,0.83,0.27
ecuador,100.0,44.49,19.59,4.8,1.49,0.27
switzerland,100.0,80.52,29.6,7.17,1.43,0.24
mexico,100.0,55.51,18.7,3.33,1.01,0.14
japan,100.0,11.92,9.57,3.6,0.85,0.1
ivory coast,100.0,71.67,3.98,1.0,0.15,0.01
united states,100.0,81.56,15.57,1.07,0.12,0.01
senegal,100.0,17.2,7.6,0.67,0.05,0.01
egypt,100.0,59.98,6.9,1.95,0.18,0.01
austria,100.0,8.03,1.14,0.44,0.06,0.01
paraguay,100.0,12.8,1.93,0.56,0.08,0.01
ghana,100.0,10.13,1.35,0.13,0.0,0.0
south africa,100.0,37.53,4.1,0.17,0.02,0.0
dr congo,100.0,7.56,0.47,0.02,0.0,0.0
cape verde,100.0,2.19,0.48,0.04,0.0,0.0
canada,100.0,62.47,8.21,0.38,0.03,0.0
norway,100.0,28.33,0.98,0.19,0.03,0.0
australia,100.0,40.02,3.07,0.53,0.04,0.0
bosnia and herzegovina,100.0,18.44,2.54,0.07,0.0,0.0
sweden,100.0,5.06,0.69,0.17,0.02,0.0
algeria,100.0,19.48,5.14,0.68,0.05,0.0
