Team,Round-of-32,Round-of-16,Quarter-Final,Semi-Final,Finalist,Champion
france,100.0,94.12,75.06,63.43,40.39,26.86
spain,99.99,88.42,65.52,56.97,35.34,23.89
brazil,100.0,91.91,82.21,67.12,45.0,21.48
argentina,99.97,68.95,60.89,37.87,18.55,8.0
portugal,99.99,88.97,61.87,38.28,18.13,7.61
england,99.85,72.78,50.57,19.34,8.54,2.97
netherlands,99.56,67.05,57.82,17.1,6.29,2.16
colombia,99.83,72.23,36.32,19.59,6.54,1.98
germany,99.1,86.18,23.14,13.77,4.93,1.55
belgium,99.93,85.37,60.39,16.47,4.54,1.38
uruguay,99.51,34.33,24.27,11.55,3.21,0.67
croatia,99.68,54.06,31.1,8.85,2.69,0.52
morocco,99.48,34.16,23.63,5.2,1.34,0.27
ecuador,89.52,60.24,11.92,5.12,1.36,0.22
switzerland,99.97,86.19,24.23,6.01,1.21,0.19
mexico,98.18,80.34,25.99,3.82,0.8,0.1
japan,73.69,13.81,6.71,1.47,0.28,0.04
austria,95.21,14.38,4.35,0.96,0.14,0.02
paraguay,80.98,41.99,11.81,1.23,0.13,0.02
ivory coast,41.89,13.49,1.88,0.26,0.04,0.01
turkey,82.62,42.87,10.68,0.94,0.06,0.01
curacao,36.58,12.64,2.48,0.55,0.09,0.01
senegal,90.84,28.98,3.58,0.63,0.09,0.01
czech republic,68.67,26.26,4.6,0.25,0.03,0.01
tunisia,57.94,6.76,2.21,0.28,0.04,0.01
egypt,94.13,43.52,9.14,1.07,0.1,0.01
south korea,80.47,40.32,5.23,0.32,0.03,0.0
bosnia and herzegovina,59.58,6.98,0.72,0.03,0.0,0.0
iran,65.69,9.87,0.98,0.04,0.0,0.0
australia,37.66,11.42,1.52,0.1,0.01,0.0
iraq,4.23,0.2,0.01,0.0,0.0,0.0
panama,3.0,0.12,0.0,0.0,0.0,0.0
canada,86.08,25.81,3.06,0.11,0.01,0.0
ghana,67.75,8.43,1.42,0.07,0.0,0.0
qatar,18.15,1.39,0.09,0.0,0.0,0.0
south africa,25.97,6.29,0.76,0.02,0.0,0.0
haiti,0.34,0.0,0.0,0.0,0.0,0.0
dr congo,20.68,1.76,0.21,0.0,0.0,0.0
norway,74.67,12.4,1.46,0.1,0.01,0.0
cape verde,8.41,0.35,0.02,0.0,0.0,0.0
uzbekistan,19.23,1.14,0.09,0.0,0.0,0.0
saudi arabia,37.34,2.67,0.32,0.01,0.0,0.0
jordan,1.36,0.04,0.0,0.0,0.0,0.0
scotland,79.4,9.94,2.03,0.11,0.01,0.0
algeria,83.46,13.03,3.61,0.39,0.03,0.0
sweden,34.13,4.23,1.16,0.13,0.02,0.0
new zealand,8.41,0.23,0.01,0.0,0.0,0.0
united states,76.91,33.35,4.94,0.41,0.03,0.0
