Team,Position_1,Position_2,Position_3,Position_4
czech republic,8.09,27.74,44.08,20.09
mexico,67.22,25.33,6.21,1.24
south africa,1.66,8.77,24.19,65.38
south korea,23.03,38.15,25.52,13.3
switzerland,94.5,5.0,0.48,0.02
bosnia and herzegovina,1.06,20.78,56.16,22.0
qatar,0.18,7.8,21.85,70.17
canada,4.26,66.41,21.51,7.81
brazil,92.58,7.14,0.28,0.0
morocco,7.13,84.79,8.03,0.05
scotland,0.28,8.04,89.97,1.71
haiti,0.0,0.03,1.73,98.24
paraguay,30.83,28.79,26.46,13.92
turkey,37.85,27.88,20.98,13.29
australia,6.6,13.41,24.54,55.45
united states,24.72,29.93,28.03,17.33
germany,77.64,18.1,3.68,0.57
ecuador,18.08,57.83,17.71,6.38
ivory coast,2.03,10.96,43.87,43.14
curacao,2.24,13.12,34.73,49.91
netherlands,87.38,10.24,2.06,0.32
japan,7.94,45.26,28.67,18.13
tunisia,3.12,31.13,36.56,29.19
sweden,1.56,13.38,32.71,52.36
belgium,82.87,15.3,1.78,0.04
egypt,15.09,62.54,20.01,2.37
iran,1.99,20.04,62.62,15.35
new zealand,0.04,2.12,15.6,82.24
uruguay,11.13,86.58,2.15,0.14
spain,88.82,11.07,0.1,0.0
saudi arabia,0.05,1.79,72.13,26.03
cape verde,0.0,0.56,25.62,73.82
france,98.0,1.86,0.15,0.0
norway,0.44,34.72,56.75,8.09
senegal,1.56,62.14,34.4,1.9
iraq,0.0,1.29,8.7,90.01
argentina,91.34,7.65,1.01,0.0
algeria,1.87,27.09,67.92,3.12
austria,6.79,64.91,27.39,0.91
jordan,0.0,0.35,3.68,95.97
colombia,36.73,62.12,1.11,0.04
portugal,63.22,36.55,0.22,0.01
dr congo,0.03,0.84,49.15,49.97
uzbekistan,0.02,0.49,49.52,49.98
england,58.29,39.76,1.91,0.04
croatia,40.89,54.94,4.12,0.05
ghana,0.81,5.17,85.56,8.45
panama,0.0,0.12,8.42,91.45
