match_id,group,date_cuba,home_name,home_code,home_emoji,home_color,away_name,away_code,away_emoji,away_color,result
1,A,2026-06-11 15:00,Mexico,MEX,🇲🇽,#006847,South Africa,RSA,🇿🇦,#007A4D,2-0
2,A,2026-06-11 18:00,South Korea,KOR,🇰🇷,#CD2E3A,Czechia,CZE,🇨🇿,#D7141A,2-1
3,A,2026-06-18 12:00,Czechia,CZE,🇨🇿,#D7141A,South Africa,RSA,🇿🇦,#007A4D,1-1
4,A,2026-06-18 21:00,Mexico,MEX,🇲🇽,#006847,South Korea,KOR,🇰🇷,#CD2E3A,1-0
5,A,2026-06-24 21:00,Czechia,CZE,🇨🇿,#D7141A,Mexico,MEX,🇲🇽,#006847,0-3
6,A,2026-06-24 21:00,South Africa,RSA,🇿🇦,#007A4D,South Korea,KOR,🇰🇷,#CD2E3A,1-0
7,B,2026-06-12 15:00,Canada,CAN,🇨🇦,#FF0000,Bosnia and Herzegovina,BIH,🇧🇦,#002395,1-1
8,B,2026-06-13 15:00,Qatar,QAT,🇶🇦,#8D153A,Switzerland,SUI,🇨🇭,#FF0000,1-1
9,B,2026-06-18 15:00,Switzerland,SUI,🇨🇭,#FF0000,Bosnia and Herzegovina,BIH,🇧🇦,#002395,4-1
10,B,2026-06-18 18:00,Canada,CAN,🇨🇦,#FF0000,Qatar,QAT,🇶🇦,#8D153A,6-0
11,B,2026-06-24 15:00,Switzerland,SUI,🇨🇭,#FF0000,Canada,CAN,🇨🇦,#FF0000,2-1
12,B,2026-06-24 15:00,Bosnia and Herzegovina,BIH,🇧🇦,#002395,Qatar,QAT,🇶🇦,#8D153A,3-1
13,C,2026-06-13 18:00,Brazil,BRA,🇧🇷,#009C3B,Morocco,MAR,      ,#C1272D,1-1
14,C,2026-06-13 21:00,Haiti,HAI,🇭🇹,#00209F,Scotland,SCO,🏴󠁧󠁢󠁳󠁣󠁴󠁿,#003865,0-1
15,C,2026-06-19 18:00,Scotland,SCO,🏴󠁧󠁢󠁳󠁣󠁴󠁿,#003865,Morocco,MAR,🇲🇦,#C1272D,0-1
16,C,2026-06-19 20:30,Brazil,BRA,🇧🇷,#009C3B,Haiti,HAI,🇭🇹,#00209F,3-0
17,C,2026-06-24 18:00,Scotland,SCO,🏴󠁧󠁢󠁳󠁣󠁴󠁿,#003865,Brazil,BRA,🇧🇷,#009C3B,0-3
18,C,2026-06-24 18:00,Morocco,MAR,🇲🇦,#C1272D,Haiti,HAI,🇭🇹,#00209F,4-2
19,D,2026-06-12 21:00,USA,USA,🇺🇸,#B22234,Paraguay,PAR,🇵🇾,#D52B1E,4-1
